Record ID,Car Name,Problem Classification,Problem Description,Severity,Diagnosis,How to Fix the Problem,Solution Used,ECU Data,Service History,Repair Status,Results
1099,Toyota Sienna 2016,Battery,Clicking sound when starting,Low,Faulty alternator,Replace battery and test charging system,Replaced alternator,P0430,Oil changed 6 months ago,Fixed,Resolved
1100,Kia Niro 2015,Brakes,Soft brake pedal,High,Worn master cylinder,Replace brake master cylinder and bleed brake system,Replaced cylinder,None,Transmission service 2 years ago,Fixed,Resolved
1101,Ford Expedition 2015,Transmission,Transmission overheating,High,Transmission fluid low,Replace clutch packs,Replaced low,Multiple codes,None,Fixed,Resolved
1102,Hyundai Veloster 2020,Engine,Engine overheating,High,Timing belt failure,Replace fuel pump,Replaced failure,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
1103,Honda Accord 2017,Engine,Engine misfire,High,Spark plug wear,Replace fuel pump,Replaced wear,None,None,Fixed,Resolved
1104,Kia Carnival 2016,Electrical,Battery drains fast,Medium,Loose wiring,Secure and repair connections,Secure and repair connections,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
1105,Hyundai Santa Fe 2020,Brakes,Squealing brakes,Medium,Worn pads,Replace brake pads and rotors,Pending replace brake pads and rotors,P0100,Transmission service 2 years ago,Not Fixed,Unresolved
1106,BMW X1 2016,Brakes,Brake noise,Medium,Warped rotors,Replace brake pads and rotors,Replaced rotors,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
1107,Ford F-150 2021,Electrical,Power window failure,Medium,Window regulator motor,Secure and repair connections,Repair in progress,P0301,Transmission service 2 years ago,In Progress,Monitoring
1108,Kia Niro 2023,Transmission,Gear grinding,High,Clutch pack wear,Refill transmission fluid,Refill transmission fluid,P0302,None,Fixed,Resolved
1109,Mercedes GLC 2022,Electrical,Car wont start,Low,Window regulator motor,Replace alternator and test battery condition,Replaced motor,Multiple codes,None,Fixed,Resolved
1110,Honda Odyssey 2015,Electrical,Car wont start,Low,Dead battery,Replace alternator and test battery condition,Replaced battery,None,Coolant flush last year,Fixed,Resolved
1111,Ford Expedition 2023,Electrical,Dashboard flickering,Low,Dead battery,Replace regulator motor,Replaced battery,Multiple codes,Spark plugs replaced 2 years ago,Fixed,Resolved
1112,Nissan Armada 2018,Transmission,Gear shift hard,High,Clutch pack wear,Replace transmission fluid,Replaced wear,P0301,None,Fixed,Resolved
1113,Mercedes E-Class 2021,Brakes,Brake noise,High,Warped rotors,Refill brake fluid,Refill brake fluid,Multiple codes,Oil changed 6 months ago,Fixed,Resolved
1114,Mercedes GLE 2017,Electrical,Battery drains fast,Low,Wiring issue,Check and repair loose or damaged wiring connections,Check and repair wiring,P0100,Battery replaced 1 year ago,Fixed,Resolved
1115,Ford Expedition 2015,Electrical,Headlights flicker,Low,Loose wiring,Replace alternator and test battery condition,Replaced wiring,None,Brake service 1 year ago,Fixed,Resolved
1116,Honda Pilot 2017,Battery,Clicking sound when starting,Low,Dead battery,Test charging system,Test charging system,P0011,Spark plugs replaced 2 years ago,Fixed,Resolved
1117,Chevrolet Traverse 2021,Brakes,Squealing brakes,High,Worn master cylinder,Refill brake fluid,Refill brake fluid,P0100,Coolant flush last year,Fixed,Resolved
1118,Nissan Leaf 2021,Battery,Car wont start,Low,Starter motor failure,Test charging system,Test charging system,None,Brake service 1 year ago,Fixed,Resolved
1119,Ford Focus 2020,Transmission,Gear shift hard,High,Clutch pack wear,Perform transmission service and inspect for internal damage,Perform transmission service,None,Brake service 1 year ago,Fixed,Resolved
1120,BMW X5 2015,Electrical,Battery drains fast,Medium,Dead battery,Check and repair loose or damaged wiring connections,Check and repair wiring,None,Spark plugs replaced 2 years ago,Fixed,Resolved
1121,Hyundai Kona 2021,Brakes,Brake pedal hard,High,Worn brake pads,Refill brake fluid,Refill brake fluid,Multiple codes,Regular maintenance,Fixed,Resolved
1122,Honda Odyssey 2016,Brakes,Brake pedal hard,High,Worn pads,Replace brake pads and rotors,Replaced pads,P0400,Battery replaced 1 year ago,Fixed,Resolved
1123,BMW X7 2021,Engine,Engine overheating,Medium,Timing belt failure,Replace spark plugs,Replaced failure,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
1124,Kia Carnival 2020,Battery,Clicking sound when starting,High,Dead battery,Replace alternator and test battery condition,Repair in progress,P0400,Regular maintenance,In Progress,Monitoring
1125,Toyota Sienna 2019,Electrical,Power window failure,Medium,Window regulator motor,Replace battery and test charging system,Replaced motor,P0302,None,Fixed,Resolved
1126,BMW 4 Series 2020,Engine,Engine stalling,Medium,Spark plug wear,Replace spark plugs,Replaced wear,P0430,None,Fixed,Resolved
1127,Hyundai Santa Fe 2019,Transmission,Delayed shifting,High,Transmission wear,Replace solenoid pack,Replaced wear,None,Regular maintenance,Fixed,Resolved
1128,Toyota Avalon 2021,Electrical,Headlights flicker,Low,Wiring issue,Replace regulator motor,Replaced issue,None,Battery replaced 1 year ago,Fixed,Resolved
1129,Hyundai Palisade 2022,Battery,Battery drains fast,Low,Charging system fault,Replace battery and test charging system,Replaced fault,None,Oil changed 6 months ago,Fixed,Resolved
1130,Honda Fit 2023,Engine,Engine overheating,Medium,Spark plug wear,Replace timing belt,Replaced wear,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
1131,Honda Fit 2016,Electrical,Power window failure,Low,Faulty alternator,Replace alternator and test battery condition,Replaced alternator,None,None,Fixed,Resolved
1132,BMW X5 2021,Transmission,Slipping gears,Medium,Transmission fluid thick,Replace clutch packs,Replaced thick,P0420,Oil changed 6 months ago,Fixed,Resolved
1133,Hyundai Kona 2015,Brakes,Squealing brakes,Medium,Worn master cylinder,Refill brake fluid,Refill brake fluid,P0200,Battery replaced 1 year ago,Fixed,Resolved
1134,Kia Sorento 2018,Electrical,Dashboard flickering,Low,Faulty alternator,Secure and repair connections,Secure and repair connections,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
1135,Nissan Leaf 2020,Battery,Battery warning light,High,Charging system fault,Replace battery and test charging system,Replaced fault,P0300,Battery replaced 1 year ago,Fixed,Resolved
1136,BMW 4 Series 2018,Battery,Battery drains fast,Low,Charging system fault,Replace starter motor,Replaced fault,Multiple codes,Regular maintenance,Fixed,Resolved
1137,BMW X6 2020,Engine,Engine misfire,High,Fuel pump issue,Replace spark plugs,Replaced issue,P0300,Battery replaced 1 year ago,Fixed,Resolved
1138,Ford Maverick 2017,Battery,Clicking sound when starting,High,Charging system fault,Test charging system,Repair in progress,P0010,Battery replaced 1 year ago,In Progress,Monitoring
1139,Nissan Versa 2017,Brakes,Vibration when braking,High,Worn master cylinder,Replace brake master cylinder and bleed brake system,Replaced cylinder,None,Transmission service 2 years ago,Fixed,Resolved
1140,Ford Ranger 2023,Brakes,Brake noise,Medium,Worn pads,Refill brake fluid,Pending refill brake fluid,P0200,Coolant flush last year,Not Fixed,Unresolved
1141,Honda Odyssey 2023,Battery,Battery warning light,High,Faulty alternator,Test charging system,Test charging system,P0302,Battery replaced 1 year ago,Fixed,Resolved
1142,Ford Ranger 2019,Engine,Engine stalling,Medium,Spark plug wear,Replace timing belt,Replaced wear,None,Spark plugs replaced 2 years ago,Fixed,Resolved
1143,Nissan Kicks 2021,Electrical,Dashboard flickering,Low,Window regulator motor,Secure and repair connections,Secure and repair connections,Multiple codes,Regular maintenance,Fixed,Resolved
1144,Nissan Altima 2020,Battery,Battery drains fast,Low,Faulty alternator,Test charging system,Test charging system,None,Spark plugs replaced 2 years ago,Fixed,Resolved
1145,Mercedes GLE 2017,Brakes,Brake noise,High,Worn pads,Replace brake pads and resurface rotors,Replaced pads,None,Coolant flush last year,Fixed,Resolved
1146,Hyundai Tucson 2015,Electrical,Power window failure,Medium,Dead battery,Replace battery and test charging system,Replaced battery,P0420,Brake service 1 year ago,Fixed,Resolved
1147,BMW X6 2016,Battery,Clicking sound when starting,Low,Faulty alternator,Replace alternator and test battery condition,Replaced alternator,None,None,Fixed,Resolved
1148,Nissan Versa 2022,Brakes,Brake pedal hard,High,Low brake fluid,Replace brake pads and rotors,Pending replace brake pads and rotors,None,None,Not Fixed,Unresolved
1149,BMW 3 Series 2019,Brakes,Brake pedal hard,High,Worn brake pads,Refill brake fluid,Refill brake fluid,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
1150,Honda Accord 2017,Transmission,Transmission overheating,High,Transmission wear,Refill transmission fluid,Refill transmission fluid,P0430,Oil changed 6 months ago,Fixed,Resolved
1151,BMW X5 2019,Engine,Engine overheating,High,Catalytic converter issue,Replace timing belt,Pending replace timing belt,None,Transmission service 2 years ago,Not Fixed,Unresolved
1152,Hyundai Accent 2020,Brakes,Brake noise,High,Warped rotors,Replace brake pads and rotors,Replaced rotors,None,Transmission service 2 years ago,Fixed,Resolved
1153,Chevrolet Camaro 2020,Transmission,Gear shift hard,Medium,Transmission fluid low,Replace clutch packs,Replaced low,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
1154,Hyundai Santa Fe 2017,Electrical,Power window failure,Low,Faulty alternator,Replace battery and test charging system,Replaced alternator,None,Brake service 1 year ago,Fixed,Resolved
1155,Hyundai Santa Fe 2015,Transmission,Gear shift hard,Medium,Clutch pack wear,Replace clutch packs,Replaced wear,None,Coolant flush last year,Fixed,Resolved
1156,Ford Maverick 2023,Transmission,Transmission overheating,Medium,Transmission fluid thick,Replace solenoid pack,Pending replace solenoid pack,Multiple codes,Oil changed 6 months ago,Not Fixed,Unresolved
1157,BMW X3 2022,Brakes,Brake pedal hard,High,Worn master cylinder,Replace brake pads and rotors,Replaced cylinder,None,Oil changed 6 months ago,Fixed,Resolved
1158,Honda Pilot 2020,Brakes,Soft brake pedal,High,Warped rotors,Replace brake master cylinder and bleed brake system,Replaced rotors,None,Brake service 1 year ago,Fixed,Resolved
1159,Toyota 4Runner 2016,Transmission,Transmission overheating,High,Transmission wear,Replace transmission fluid,Replaced wear,Multiple codes,Regular maintenance,Fixed,Resolved
1160,BMW i4 2023,Electrical,Headlights flicker,Low,Faulty alternator,Secure and repair connections,Secure and repair connections,None,Brake service 1 year ago,Fixed,Resolved
1161,BMW X3 2015,Battery,Clicking sound when starting,Low,Starter motor failure,Replace battery and test charging system,Replaced failure,None,Oil changed 6 months ago,Fixed,Resolved
1162,Hyundai Elantra 2018,Electrical,Headlights flicker,Low,Window regulator motor,Replace regulator motor,Replaced motor,Multiple codes,None,Fixed,Resolved
1163,Honda Pilot 2022,Engine,Smoke from exhaust,Medium,Catalytic converter issue,Replace timing belt,Replaced issue,Multiple codes,Brake service 1 year ago,Fixed,Resolved
1164,BMW X1 2015,Battery,Battery warning light,High,Dead battery,Test charging system,Test charging system,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
1165,Hyundai Venue 2019,Brakes,Squealing brakes,High,Worn brake pads,Resurface or replace rotors,Replaced pads,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
1166,Mercedes GLE 2020,Transmission,Transmission overheating,High,Clutch pack wear,Replace transmission fluid,Replaced wear,None,Battery replaced 1 year ago,Fixed,Resolved
1167,Kia Niro 2022,Brakes,Squealing brakes,High,Worn pads,Replace brake master cylinder and bleed brake system,Replaced pads,P0430,Regular maintenance,Fixed,Resolved
1168,Kia Niro 2017,Electrical,Dashboard flickering,Medium,Loose wiring,Secure and repair connections,Secure and repair connections,P0200,Battery replaced 1 year ago,Fixed,Resolved
1169,Hyundai Nexo 2018,Battery,Battery drains fast,Low,Starter motor failure,Replace alternator and test battery condition,Replaced failure,None,Oil changed 6 months ago,Fixed,Resolved
1170,Ford Edge 2023,Brakes,Vibration when braking,High,Low brake fluid,Replace brake pads and rotors,Replaced fluid,P0200,Transmission service 2 years ago,Fixed,Resolved
1171,Ford Mustang 2020,Transmission,Gear shift hard,High,Transmission solenoid,Replace transmission fluid,Replaced solenoid,P0301,None,Fixed,Resolved
1172,Toyota 4Runner 2020,Electrical,Car wont start,Low,Faulty alternator,Check and repair loose or damaged wiring connections,Check and repair wiring,None,Transmission service 2 years ago,Fixed,Resolved
1173,Kia Sportage 2020,Brakes,Soft brake pedal,High,Worn brake pads,Resurface or replace rotors,Replaced pads,None,Battery replaced 1 year ago,Fixed,Resolved
1174,Honda Accord 2018,Electrical,Battery drains fast,Low,Dead battery,Replace regulator motor,Replaced battery,Multiple codes,Spark plugs replaced 2 years ago,Fixed,Resolved
1175,BMW X5 2019,Battery,Battery warning light,Medium,Dead battery,Replace battery and test charging system,Replaced battery,P0300,Coolant flush last year,Fixed,Resolved
1176,Hyundai Tucson 2022,Electrical,Dashboard flickering,Low,Faulty alternator,Replace battery and test charging system,Replaced alternator,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
1177,Chevrolet Blazer 2016,Brakes,Squealing brakes,Medium,Worn brake pads,Resurface or replace rotors,Replaced pads,P0430,Transmission service 2 years ago,Fixed,Resolved
1178,Toyota RAV4 2016,Transmission,Gear shift hard,High,Transmission solenoid,Refill transmission fluid,Refill transmission fluid,None,Battery replaced 1 year ago,Fixed,Resolved
1179,Kia Telluride 2019,Transmission,Transmission overheating,High,Transmission wear,Refill transmission fluid,Refill transmission fluid,P0301,Spark plugs replaced 2 years ago,Fixed,Resolved
1180,Toyota Avalon 2015,Battery,Clicking sound when starting,Medium,Dead battery,Test charging system,Repair in progress,P0400,Battery replaced 1 year ago,In Progress,Monitoring
1181,Kia Sorento 2016,Battery,Car wont start,Low,Dead battery,Replace alternator and test battery condition,Replaced battery,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
1182,Chevrolet Equinox 2021,Transmission,Delayed shifting,High,Transmission solenoid,Refill transmission fluid,Refill transmission fluid,None,Coolant flush last year,Fixed,Resolved
1183,Mercedes GLA 2015,Brakes,Vibration when braking,High,Worn brake pads,Replace brake master cylinder and bleed brake system,Replaced pads,None,None,Fixed,Resolved
1184,Kia Stinger 2017,Transmission,Slipping gears,Medium,Clutch pack wear,Replace transmission fluid,Replaced wear,Multiple codes,Brake service 1 year ago,Fixed,Resolved
1185,Kia EV6 2017,Electrical,Headlights flicker,Medium,Loose wiring,Replace alternator and test battery condition,Replaced wiring,Multiple codes,None,Fixed,Resolved
1186,Mercedes A-Class 2016,Transmission,Gear shift hard,High,Transmission fluid low,Refill transmission fluid,Refill transmission fluid,P0100,Transmission service 2 years ago,Fixed,Resolved
1187,Chevrolet Camaro 2015,Electrical,Car wont start,Low,Wiring issue,Replace battery and test charging system,Replaced issue,Multiple codes,Brake service 1 year ago,Fixed,Resolved
1188,Toyota Prius 2022,Brakes,Squealing brakes,Medium,Worn pads,Refill brake fluid,Refill brake fluid,None,Oil changed 6 months ago,Fixed,Resolved
1189,Mercedes E-Class 2017,Electrical,Dashboard flickering,Medium,Dead battery,Replace regulator motor,Replaced battery,P0300,Brake service 1 year ago,Fixed,Resolved
1190,Honda Ridgeline 2020,Brakes,Brake noise,High,Warped rotors,Replace brake master cylinder and bleed brake system,Pending replace master cylinder,None,Spark plugs replaced 2 years ago,Not Fixed,Unresolved
1191,Nissan Rogue 2020,Transmission,Gear shift hard,Medium,Transmission wear,Replace solenoid pack,Pending replace solenoid pack,P0430,Brake service 1 year ago,Not Fixed,Unresolved
1192,Honda Fit 2022,Engine,Engine overheating,High,Spark plug wear,Replace the catalytic converter with a new OEM part,Replaced wear,None,None,Fixed,Resolved
1193,Mercedes GLC 2017,Brakes,Brake pedal hard,High,Worn master cylinder,Resurface or replace rotors,Replaced cylinder,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
1194,Nissan Sentra 2021,Electrical,Headlights flicker,Medium,Window regulator motor,Secure and repair connections,Secure and repair connections,None,Coolant flush last year,Fixed,Resolved
1195,Ford F-150 2022,Electrical,Battery drains fast,Medium,Dead battery,Replace alternator and test battery condition,Pending replace alternator,Multiple codes,Coolant flush last year,Not Fixed,Unresolved
1196,Toyota Sienna 2015,Brakes,Brake pedal hard,High,Worn pads,Refill brake fluid,Refill brake fluid,Multiple codes,Oil changed 6 months ago,Fixed,Resolved
1197,Honda Civic 2020,Electrical,Dashboard flickering,Low,Dead battery,Check and repair loose or damaged wiring connections,Check and repair wiring,P0302,Spark plugs replaced 2 years ago,Fixed,Resolved
1198,BMW X3 2015,Transmission,Delayed shifting,Medium,Transmission solenoid,Replace transmission fluid,Replaced solenoid,Multiple codes,Coolant flush last year,Fixed,Resolved
1199,Honda Passport 2022,Battery,Battery drains fast,Low,Faulty alternator,Replace alternator and test battery condition,Replaced alternator,None,Regular maintenance,Fixed,Resolved
1200,Honda Fit 2019,Battery,Car wont start,Medium,Faulty alternator,Replace alternator and test battery condition,Replaced alternator,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
1201,BMW i4 2023,Battery,Clicking sound when starting,Low,Faulty alternator,Replace starter motor,Replaced alternator,None,None,Fixed,Resolved
1202,Nissan Altima 2018,Electrical,Dashboard flickering,Low,Loose wiring,Check and repair loose or damaged wiring connections,Check and repair wiring,None,Spark plugs replaced 2 years ago,Fixed,Resolved
1203,Toyota C-HR 2022,Brakes,Brake noise,Medium,Worn pads,Resurface or replace rotors,Replaced pads,P0101,Transmission service 2 years ago,Fixed,Resolved
1204,BMW 5 Series 2019,Battery,Clicking sound when starting,Low,Starter motor failure,Replace alternator and test battery condition,Replaced failure,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
1205,Honda Odyssey 2023,Transmission,Gear grinding,High,Transmission fluid thick,Replace solenoid pack,Replaced thick,None,Regular maintenance,Fixed,Resolved
1206,BMW 5 Series 2016,Battery,Clicking sound when starting,Low,Faulty alternator,Replace starter motor,Replaced alternator,Multiple codes,Regular maintenance,Fixed,Resolved
1207,Ford Ranger 2023,Electrical,Headlights flicker,Low,Loose wiring,Check and repair loose or damaged wiring connections,Check and repair wiring,P0500,Oil changed 6 months ago,Fixed,Resolved
1208,Mercedes G-Class 2015,Battery,Clicking sound when starting,Low,Faulty alternator,Replace alternator and test battery condition,Replaced alternator,Multiple codes,Oil changed 6 months ago,Fixed,Resolved
1209,Chevrolet Malibu 2023,Battery,Battery warning light,Low,Faulty alternator,Replace starter motor,Replaced alternator,P0301,Spark plugs replaced 2 years ago,Fixed,Resolved
1210,Nissan Armada 2022,Transmission,Slipping gears,High,Transmission fluid thick,Perform transmission service and inspect for internal damage,Perform transmission service,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
1211,Honda Civic 2021,Electrical,Headlights flicker,Low,Dead battery,Secure and repair connections,Secure and repair connections,P0101,Oil changed 6 months ago,Fixed,Resolved
1212,Nissan Kicks 2018,Electrical,Battery drains fast,Medium,Wiring issue,Secure and repair connections,Repair in progress,None,Spark plugs replaced 2 years ago,In Progress,Monitoring
1213,Ford Focus 2022,Electrical,Battery drains fast,Low,Faulty alternator,Check and repair loose or damaged wiring connections,Check and repair wiring,P0400,Regular maintenance,Fixed,Resolved
1214,BMW X5 2022,Transmission,Gear grinding,High,Clutch pack wear,Replace clutch packs,Replaced wear,Multiple codes,Coolant flush last year,Fixed,Resolved
1215,Toyota 4Runner 2019,Engine,Smoke from exhaust,High,Timing belt failure,Replace fuel pump,Replaced failure,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
1216,Chevrolet Blazer 2016,Engine,Engine stalling,High,Fuel pump issue,Replace spark plugs,Replaced issue,P0430,Spark plugs replaced 2 years ago,Fixed,Resolved
1217,Toyota Corolla 2019,Transmission,Gear shift hard,High,Clutch pack wear,Replace transmission fluid,Replaced wear,P0200,Regular maintenance,Fixed,Resolved
1218,Honda Passport 2018,Battery,Battery warning light,Low,Faulty alternator,Test charging system,Test charging system,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
1219,Nissan Leaf 2023,Brakes,Brake pedal hard,High,Warped rotors,Replace brake master cylinder and bleed brake system,Replaced rotors,None,Regular maintenance,Fixed,Resolved
1220,Chevrolet Camaro 2021,Brakes,Brake pedal hard,High,Worn brake pads,Refill brake fluid,Pending refill brake fluid,Multiple codes,None,Not Fixed,Unresolved
1221,Nissan Altima 2018,Battery,Battery drains fast,Medium,Dead battery,Replace starter motor,Replaced battery,None,Battery replaced 1 year ago,Fixed,Resolved
1222,Kia Rio 2020,Electrical,Battery drains fast,Medium,Dead battery,Check and repair loose or damaged wiring connections,Check and repair wiring,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
1223,Chevrolet Blazer 2023,Transmission,Delayed shifting,Medium,Transmission fluid thick,Refill transmission fluid,Refill transmission fluid,P0011,Coolant flush last year,Fixed,Resolved
1224,Mercedes GLE 2020,Transmission,Gear grinding,High,Transmission wear,Replace solenoid pack,Replaced wear,Multiple codes,Oil changed 6 months ago,Fixed,Resolved
1225,Chevrolet Tahoe 2022,Transmission,Gear shift hard,High,Transmission solenoid,Replace transmission fluid,Replaced solenoid,P0100,None,Fixed,Resolved
1226,Chevrolet Spark 2019,Battery,Clicking sound when starting,High,Faulty alternator,Test charging system,Test charging system,None,Regular maintenance,Fixed,Resolved
1227,Nissan Murano 2017,Transmission,Transmission overheating,Medium,Transmission fluid thick,Replace solenoid pack,Replaced thick,None,Transmission service 2 years ago,Fixed,Resolved
1228,Honda Odyssey 2018,Brakes,Brake pedal hard,High,Worn pads,Resurface or replace rotors,Replaced pads,None,Battery replaced 1 year ago,Fixed,Resolved
1229,Chevrolet Trailblazer 2018,Brakes,Squealing brakes,High,Worn pads,Replace brake master cylinder and bleed brake system,Replaced pads,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
1230,Nissan Versa 2023,Battery,Battery drains fast,Low,Charging system fault,Replace alternator and test battery condition,Replaced fault,P0420,Spark plugs replaced 2 years ago,Fixed,Resolved
1231,Hyundai Palisade 2019,Brakes,Brake noise,High,Worn brake pads,Replace brake pads and resurface rotors,Replaced pads,None,Oil changed 6 months ago,Fixed,Resolved
1232,Chevrolet Blazer 2017,Engine,Engine stalling,Medium,Timing belt failure,Replace fuel pump,Replaced failure,None,Coolant flush last year,Fixed,Resolved
1233,Mercedes GLE 2022,Transmission,Transmission overheating,High,Transmission wear,Replace solenoid pack,Replaced wear,Multiple codes,Spark plugs replaced 2 years ago,Fixed,Resolved
1234,Ford F-150 2023,Brakes,Vibration when braking,Medium,Worn master cylinder,Replace brake pads and rotors,Replaced cylinder,None,Regular maintenance,Fixed,Resolved
1235,Kia Sorento 2019,Battery,Clicking sound when starting,Low,Dead battery,Test charging system,Test charging system,P0100,Brake service 1 year ago,Fixed,Resolved
1236,BMW X1 2023,Transmission,Gear shift hard,Medium,Transmission fluid low,Replace clutch packs,Replaced low,P0400,Oil changed 6 months ago,Fixed,Resolved
1237,Kia Sportage 2015,Transmission,Transmission overheating,Medium,Transmission wear,Perform transmission service and inspect for internal damage,Perform transmission service,P0400,Oil changed 6 months ago,Fixed,Resolved
1238,Chevrolet Trailblazer 2017,Electrical,Dashboard flickering,Low,Dead battery,Check and repair loose or damaged wiring connections,Check and repair wiring,P0011,Spark plugs replaced 2 years ago,Fixed,Resolved
1239,Nissan Armada 2017,Transmission,Slipping gears,High,Transmission wear,Replace transmission fluid,Replaced wear,P0500,Transmission service 2 years ago,Fixed,Resolved
1240,Honda CR-V 2019,Brakes,Squealing brakes,High,Worn pads,Replace brake pads and rotors,Repair in progress,None,Coolant flush last year,In Progress,Monitoring
1241,Honda Ridgeline 2019,Engine,Engine stalling,High,Catalytic converter issue,Replace fuel pump,Replaced issue,None,Oil changed 6 months ago,Fixed,Resolved
1242,Mercedes C-Class 2015,Transmission,Delayed shifting,High,Transmission fluid thick,Perform transmission service and inspect for internal damage,Perform transmission service,Multiple codes,Coolant flush last year,Fixed,Resolved
1243,Ford Focus 2022,Electrical,Power window failure,Low,Loose wiring,Replace alternator and test battery condition,Replaced wiring,None,Coolant flush last year,Fixed,Resolved
1244,Ford Expedition 2017,Battery,Battery drains fast,Medium,Charging system fault,Replace battery and test charging system,Replaced fault,None,Transmission service 2 years ago,Fixed,Resolved
1245,Honda Odyssey 2017,Battery,Battery drains fast,Medium,Dead battery,Test charging system,Test charging system,Multiple codes,Coolant flush last year,Fixed,Resolved
1246,Mercedes GLA 2022,Engine,Engine stalling,High,Catalytic converter issue,Replace spark plugs,Replaced issue,None,Battery replaced 1 year ago,Fixed,Resolved
1247,Nissan Altima 2020,Engine,Smoke from exhaust,Medium,Fuel pump issue,Replace the catalytic converter with a new OEM part,Replaced issue,Multiple codes,Coolant flush last year,Fixed,Resolved
1248,Mercedes G-Class 2021,Battery,Battery drains fast,Medium,Starter motor failure,Replace starter motor,Replaced failure,P0101,Spark plugs replaced 2 years ago,Fixed,Resolved
1249,Nissan Kicks 2016,Brakes,Brake pedal hard,High,Low brake fluid,Replace brake master cylinder and bleed brake system,Replaced fluid,Multiple codes,Spark plugs replaced 2 years ago,Fixed,Resolved
1250,BMW X1 2015,Battery,Car wont start,Low,Faulty alternator,Replace battery and test charging system,Replaced alternator,Multiple codes,Oil changed 6 months ago,Fixed,Resolved
1251,Kia Sportage 2023,Engine,Check engine light on,Medium,Spark plug wear,Replace timing belt,Replaced wear,None,Spark plugs replaced 2 years ago,Fixed,Resolved
1252,Mercedes G-Class 2017,Battery,Clicking sound when starting,High,Dead battery,Replace alternator and test battery condition,Replaced battery,None,Coolant flush last year,Fixed,Resolved
1253,Chevrolet Traverse 2018,Battery,Car wont start,High,Dead battery,Test charging system,Test charging system,None,Transmission service 2 years ago,Fixed,Resolved
1254,Chevrolet Camaro 2017,Brakes,Squealing brakes,Medium,Worn brake pads,Refill brake fluid,Refill brake fluid,Multiple codes,Brake service 1 year ago,Fixed,Resolved
1255,Hyundai Venue 2019,Electrical,Battery drains fast,Medium,Dead battery,Check and repair loose or damaged wiring connections,Check and repair wiring,P0301,Transmission service 2 years ago,Fixed,Resolved
1256,BMW X1 2015,Brakes,Brake pedal hard,High,Low brake fluid,Replace brake pads and resurface rotors,Replaced fluid,None,Regular maintenance,Fixed,Resolved
1257,Ford Expedition 2016,Electrical,Power window failure,Low,Faulty alternator,Secure and repair connections,Pending secure and repair connections,Multiple codes,Spark plugs replaced 2 years ago,Not Fixed,Unresolved
1258,Mercedes S-Class 2019,Battery,Clicking sound when starting,High,Dead battery,Replace battery and test charging system,Replaced battery,None,Battery replaced 1 year ago,Fixed,Resolved
1259,Ford Bronco 2015,Brakes,Soft brake pedal,Medium,Worn master cylinder,Replace brake master cylinder and bleed brake system,Replaced cylinder,None,Regular maintenance,Fixed,Resolved
1260,Honda Pilot 2021,Battery,Clicking sound when starting,High,Charging system fault,Replace alternator and test battery condition,Replaced fault,Multiple codes,Brake service 1 year ago,Fixed,Resolved
1261,Kia Sportage 2015,Electrical,Battery drains fast,Low,Faulty alternator,Secure and repair connections,Secure and repair connections,Multiple codes,None,Fixed,Resolved
1262,Nissan Sentra 2019,Battery,Car wont start,High,Faulty alternator,Replace alternator and test battery condition,Replaced alternator,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
1263,BMW 5 Series 2018,Battery,Clicking sound when starting,Low,Faulty alternator,Replace alternator and test battery condition,Replaced alternator,None,Regular maintenance,Fixed,Resolved
1264,Honda Fit 2023,Battery,Car wont start,High,Faulty alternator,Replace starter motor,Replaced alternator,None,Brake service 1 year ago,Fixed,Resolved
1265,Nissan Altima 2015,Brakes,Vibration when braking,High,Worn master cylinder,Replace brake pads and resurface rotors,Replaced cylinder,Multiple codes,Regular maintenance,Fixed,Resolved
1266,BMW i4 2021,Transmission,Transmission overheating,Medium,Transmission solenoid,Replace solenoid pack,Pending replace solenoid pack,Multiple codes,Battery replaced 1 year ago,Not Fixed,Unresolved
1267,Hyundai Palisade 2022,Brakes,Squealing brakes,Medium,Low brake fluid,Resurface or replace rotors,Pending resurface or replace rotors,None,Transmission service 2 years ago,Not Fixed,Unresolved
